What is your name?	About Quinto
Who are you?	About Quinto
Tell me about your company	About Quinto
Who are your founders?	About Quinto
Who created you?	About Quinto
What can you do?	About Quinto
What are you good at?	About Quinto
Age?	About Quinto
Sex?	About Quinto
Location?	About Quinto
ASL?	About Quinto
whats ur asl?	About Quinto
what's your ASL?	About Quinto
tell me your name	About Quinto
give me your name	About Quinto
Does your app work in <city>?	About Quinto
Do you provide services in <city>?	About Quinto
Do you serve in <city>?	About Quinto
I wanna know your name	About Quinto
I wanna know who you are	About Quinto
tell me all about yourself	About Quinto
i want to know everything about you	About Quinto
what do you do?	About Quinto
how old are you?	About Quinto
what is quinto?	About Quinto
are you a boy?	About Quinto
are you a girl?	About Quinto
are you male?	About Quinto
are you female?	About Quinto
what's your gender?	About Quinto
